CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
! LTD,08209948,,,9 PRINCES SQUARE,,HARROGATE,,ENGLAND,HG1 1ND,Private Limited Company,Active,United Kingdom,,11/09/2012,30,9,30/06/2025,30/09/2023,DORMANT,09/10/2016,11/09/2015,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/08209948,,,,,,,,,,,,,,,,,,,,,25/09/2025,11/09/2024
!BIG IMPACT GRAPHICS LIMITED,11743365,,,372 OLD STREET,335 ROSDEN HOUSE,LONDON,,UNITED KINGDOM,EC1V 9LT,Private Limited Company,Active,United Kingdom,,28/12/2018,31,12,30/09/2025,24/12/2023,DORMANT,25/01/2020,,0,0,0,0,18129 - Printing n.e.c.,59112 - Video production activities,63120 - Web portals,74201 - Portrait photographic activities,0,0,http://business.data.gov.uk/id/company/11743365,,,,,,,,,,,,,,,,,,,,,29/12/2025,15/12/2024
!NFLECTION ADVISORY LIMITED,15073164,,,52 MEADWAY,,BARNET,,UNITED KINGDOM,EN5 5LB,Private Limited Company,Active,United Kingdom,,15/08/2023,31,8,15/05/2025,,NO ACCOUNTS FILED,12/09/2024,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/15073164,,,,,,,,,,,,,,,,,,,,,28/08/2025,14/08/2024
!NFOGENIE LTD,13522064,,,71-75 SHELTON STREET,,LONDON,GREATER LONDON,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,21/07/2021,31,7,30/04/2026,31/07/2024,MICRO ENTITY,18/08/2022,,0,0,0,0,58290 - Other software publishing,,,,0,0,http://business.data.gov.uk/id/company/13522064,,,,,,,,,,,,,,,,,,,,,03/08/2025,20/07/2024
!NK MEDIA LIMITED,15801429,,,"85 GREAT PORTLAND STREET, FIRST FLOOR, LONDON 85 GREAT PORTLAND STREET",FIRST FLOOR,LONDON,,ENGLAND,W1W 7LT,Private Limited Company,Active,United Kingdom,,25/06/2024,30,6,25/03/2026,,NO ACCOUNTS FILED,23/07/2025,,0,0,0,0,59112 - Video production activities,"59120 - Motion picture, video and television programme post-production activities",60200 - Television programming and broadcasting activities,,0,0,http://business.data.gov.uk/id/company/15801429,,,,,,,,,,,,,,,,,,,,,08/07/2025,
!NNOV8 LIMITED,11006939,,,OLD BARN FARM,HARTFIELD ROAD,EDENBRIDGE,,ENGLAND,TN8 5NF,Private Limited Company,Active,United Kingdom,,11/10/2017,30,3,30/12/2025,31/03/2024,MICRO ENTITY,08/11/2018,,0,0,0,0,62090 - Other information technology service activities,70229 - Management consultancy activities other than financial management,,,0,0,http://business.data.gov.uk/id/company/11006939,,,,,,,,,,,,,,,,,,,,,24/10/2025,10/10/2024
!NNOVATION LAB LTD,15431491,,,6 THORNEYHOLME CLOSE,LOSTOCK,BOLTON,,ENGLAND,BL6 4BZ,Private Limited Company,Active,United Kingdom,,22/01/2024,31,1,22/10/2025,,NO ACCOUNTS FILED,19/02/2025,,0,0,0,0,70229 - Management consultancy activities other than financial management,78300 - Human resources provision and management of human resources functions,85520 - Cultural education,,0,0,http://business.data.gov.uk/id/company/15431491,,,,,,,,,,,,,,,,,,,,,04/02/2025,
!NSPIRED INVESTMENTS LTD,SC606050,,,26 POLMUIR ROAD,,ABERDEEN,,SCOTLAND,AB11 7SY,Private Limited Company,Active,United Kingdom,,22/08/2018,31,8,31/05/2025,31/08/2023,TOTAL EXEMPTION FULL,19/09/2019,,5,5,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/SC606050,,,,,,,,,,,,,,,,,,,,,12/02/2025,29/01/2024
!NSPIRED LTD,SC421617,,,26 POLMUIR ROAD,,ABERDEEN,,UNITED KINGDOM,AB11 7SY,Private Limited Company,Liquidation,United Kingdom,,11/04/2012,10,1,10/10/2023,10/01/2022,TOTAL EXEMPTION FULL,09/05/2017,11/04/2016,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/SC421617,,,,,,,,,,,,,,,,,,,,,25/04/2022,11/04/2021
!NVERTD DESIGNS LIMITED,09152972,,,2 SANDROCKS LODGE,ROCKY LANE,HAYWARDS HEATH,,ENGLAND,RH16 4RW,Private Limited Company,Active,United Kingdom,,30/07/2014,31,7,30/04/2026,31/07/2024,TOTAL EXEMPTION FULL,27/08/2016,30/07/2015,0,0,0,0,58190 - Other publishing activities,,,,0,0,http://business.data.gov.uk/id/company/09152972,,,,,,,,,,,,,,,,,,,,,13/08/2025,30/07/2024
!OBAC LIMITED,FC031362,,,"REGENCY COURT PO BOX 296,",GLATEGNY ESPLANADE,ST PETER PORT,GY1 4NA,GUERNSEY,,Other company type,Active,CHANNEL ISLANDS,,30/11/2012,31,12,,31/12/2022,FULL,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC031362,,,,,,,,,,,,,,,,,,,,,14/12/2016,
